state_ut,district,year,murder,rape,robbery,theft,riots,cheating,dowry_deaths,total_ipc_crimes
ANDHRA PRADESH,ADILABAD,2001,101,50,41,199,78,104,16,4154
ANDHRA PRADESH,ANANTAPUR,2001,151,23,16,366,168,65,7,4125
ANDHRA PRADESH,CHITTOOR,2001,101,27,14,723,156,209,14,5818
ANDHRA PRADESH,CUDDAPAH,2001,80,20,4,173,164,37,17,3140
ANDHRA PRADESH,EAST GODAVARI,2001,82,23,25,1021,70,220,12,6507
ANDHRA PRADESH,GUNTAKAL RLY.,2001,3,0,2,162,1,0,0,287
ANDHRA PRADESH,GUNTUR,2001,182,54,59,1122,244,300,7,7848
ANDHRA PRADESH,HYDERABAD CITY,2001,111,37,67,2792,65,1293,24,11831
ANDHRA PRADESH,KARIMNAGAR,2001,162,56,50,392,220,243,62,5811
ANDHRA PRADESH,KHAMMAM,2001,93,47,13,368,153,130,17,4582
ANDHRA PRADESH,KRISHNA,2001,65,37,15,478,70,104,10,4779
ANDHRA PRADESH,KURNOOL,2001,133,29,22,297,84,126,13,4581
ANDHRA PRADESH,MAHABOOBNAGAR,2001,157,59,27,316,157,84,14,4819
ANDHRA PRADESH,MEDAK,2001,101,35,26,286,100,87,26,3532
ANDHRA PRADESH,NALGONDA,2001,122,35,28,318,220,122,31,5002
ANDHRA PRADESH,NELLORE,2001,89,46,16,608,97,177,10,5245
ANDHRA PRADESH,NIZAMABAD,2001,106,21,22,234,51,122,19,3621
ANDHRA PRADESH,PRAKASHAM,2001,102,19,14,278,138,88,5,3678
ANDHRA PRADESH,RANGA REDDY,2001,214,72,78,1296,65,527,37,9867
ANDHRA PRADESH,SECUNDERABAD RLY.,2001,6,0,10,296,1,4,1,439
ANDHRA PRADESH,SRIKAKULAM,2001,38,8,4,231,70,53,6,2572
ANDHRA PRADESH,VIJAYAWADA,2001,53,25,27,2057,19,614,2,6733
ANDHRA PRADESH,VIJAYAWADA RLY.,2001,2,1,1,265,1,3,0,320
ANDHRA PRADESH,VISAKHA RURAL,2001,58,12,3,165,138,39,3,3183
ANDHRA PRADESH,VISAKHAPATNAM,2001,22,13,5,630,9,192,0,3422
ANDHRA PRADESH,VIZIANAGARAM,2001,33,8,2,144,36,41,0,2178
ANDHRA PRADESH,WARANGAL,2001,158,53,23,418,330,137,52,6319
ANDHRA PRADESH,WEST GODAVARI,2001,77,61,15,1116,96,270,15,5696
ANDHRA PRADESH,TOTAL,2001,2602,871,629,16751,3001,5391,420,130089
ARUNACHAL PRADESH,CHANGLANG,2001,11,1,4,24,0,3,0,163
ARUNACHAL PRADESH,DIBANG VALLEY,2001,3,2,5,19,0,0,0,139
ARUNACHAL PRADESH,KAMENG EAST,2001,3,2,6,26,0,1,0,126
ARUNACHAL PRADESH,KAMENG WEST,2001,4,0,0,26,0,4,0,103
ARUNACHAL PRADESH,LOHIT,2001,16,2,8,31,3,2,0,190
ARUNACHAL PRADESH,PAPUM PARE,2001,11,9,29,109,9,8,0,498
ARUNACHAL PRADESH,SIANG EAST,2001,7,5,8,52,1,4,0,243
